Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit
Algeria,DZA,2012,1.84,47,4,3
Algeria,DZA,2014,2.09,40.9,4,4
Argentina,ARG,2012,2.79,69.9,4,4
Argentina,ARG,2014,3.47,69.7,4,5
Armenia,ARM,2012,1.69,38.4,2,4
Armenia,ARM,2014,1.74,44.1,2,4
Australia,AUS,2012,8.24,63.1,4,5
Australia,AUS,2014,10.64,58.4,4,5
Austria,AUT,2012,4.97,75,4,4
Austria,AUT,2014,5.34,74.9,4,4
Azerbaijan,AZE,2012,1.75,19.8,4,3
Azerbaijan,AZE,2014,2.7,17.6,4,3
Bahamas,BHS,2014,9.75,41.6,2,4
Bangladesh,BGD,2012,1.38,63.8,4,3
Bangladesh,BGD,2014,1.54,75.6,4,3
Belarus,BLR,2012,1.79,41.2,4,4
Belarus,BLR,2014,1.77,52.7,4,4
Belgium,BEL,2012,5.29,76.4,4,4
Belgium,BEL,2014,6.08,76.4,4,5
Belize,BLZ,2014,6.75,42.5,2,3
Bolivia,BOL,2012,2.89,40.4,4,4
Bolivia,BOL,2014,2.82,40.4,4,4
Bosnia and Herzegovina,BIH,2012,3.19,75.2,4,4
Bosnia and Herzegovina,BIH,2014,3.86,86,4,4
Brazil,BRA,2012,2.33,62.6,5,5
Brazil,BRA,2014,2.85,64.3,5,5
Bulgaria,BGR,2012,5.76,86.4,4,4
Bulgaria,BGR,2014,6.25,84,4,4
Burundi,BDI,2014,2.26,41.2,2,2
Cambodia,KHM,2012,0.86,17.1,4,3
Cambodia,KHM,2014,0.92,22.2,4,3
Cameroon,CMR,2012,7.54,21.5,4,3
Cameroon,CMR,2014,2.43,17.9,4,4
Canada,CAN,2012,6.8,64.5,4,5
Canada,CAN,2014,6.88,64.5,4,5
Chile,CHL,2012,3.69,82,4,3
Chile,CHL,2014,5.21,81.6,4,3
China,CHN,2012,2.16,47.7,4,3
China,CHN,2014,2.13,47.8,4,4
Colombia,COL,2012,1.67,50.9,5,3
Colombia,COL,2014,1.81,49.5,5,3
Comoros,COM,2014,1.96,50.8,2,2
Costa Rica,CRI,2014,3.63,71.8,4,4
Croatia,HRV,2012,4.81,70.4,4,4
Croatia,HRV,2014,5.65,74.8,4,4
Cyprus,CYP,2012,4.9,75.8,4,4
Cyprus,CYP,2014,5.52,77.3,4,4
Czechia,CZE,2012,4.91,80,4,4
