Country or Area,Year,Unit,Value,Value Footnotes
Albania,2006,Metric tons,546.6,
Albania,2006,Mil. USD,1.324113439,
Albania,2005,Metric tons,1878.5,
Albania,2005,Mil. USD,4.844285243,
Albania,2004,Metric tons,751.9,
Albania,2004,Mil. USD,2.517025405,
Algeria,2015,Metric tons,7483,
Algeria,2014,Metric tons,7648,
Algeria,2013,Metric tons,8241,
Algeria,2012,Metric tons,8130,
Algeria,2011,Metric tons,8612,
Algeria,2010,Metric tons,8273,
Algeria,2009,Metric tons,8068,
Algeria,2008,Metric tons,7103,
Algeria,2007,Metric tons,7734,
Algeria,2006,Metric tons,7357,
Algeria,2005,Metric tons,6985,
Algeria,2004,Metric tons,6976,
Algeria,2003,Metric tons,7153.4,
Algeria,2002,Metric tons,7099.6,
Algeria,2001,Metric tons,7063.2,
Algeria,2000,Metric tons,8145.8,
Algeria,1999,Metric tons,8326,
Algeria,1998,Metric tons,8497.5,
Algeria,1997,Metric tons,8382.3,
Algeria,1996,Metric tons,8307.1,
Algeria,1995,Metric tons,7803.6,
Australia,1995,Metric tons,23083,1
Austria,2016,Metric tons,0,2
Austria,2016,Mil. USD,0,2
Azerbaijan,2016,Metric tons,1946.9,
Azerbaijan,2016,Mil. USD,7.457441324,
Azerbaijan,2015,Metric tons,1691.5,
Azerbaijan,2015,Mil. USD,6.929778183,
Azerbaijan,2014,Metric tons,2430.2,
Azerbaijan,2014,Mil. USD,9.817077252,
Azerbaijan,2013,Metric tons,2112,
Azerbaijan,2013,Mil. USD,7.137930924,
Azerbaijan,2012,Metric tons,1963.6,
Azerbaijan,2012,Mil. USD,6.4914785,
Azerbaijan,2011,Metric tons,2558.7,
Azerbaijan,2011,Mil. USD,8.73764593,
Azerbaijan,2010,Metric tons,2027,
Azerbaijan,2010,Mil. USD,6.104809614,
Azerbaijan,2009,Metric tons,1543,
Azerbaijan,2009,Mil. USD,3.732349099,
Azerbaijan,2008,Metric tons,1479.2,
Azerbaijan,2008,Mil. USD,2.799349065,
Azerbaijan,2007,Metric tons,1038.8,
Azerbaijan,2007,Mil. USD,1.048799709,
Azerbaijan,2006,Metric tons,2311.4,
Azerbaijan,2006,Mil. USD,1.678894616,
Azerbaijan,2005,Metric tons,2583.6,
Azerbaijan,2005,Mil. USD,2.221232657,
Azerbaijan,2004,Metric tons,2548,
Azerbaijan,2004,Mil. USD,1.933457516,
Azerbaijan,2003,Metric tons,2293,
Azerbaijan,2003,Mil. USD,1.52726784,
Azerbaijan,2002,Metric tons,4030,
Azerbaijan,2002,Mil. USD,1.697244207,
Azerbaijan,2001,Metric tons,8622,
Azerbaijan,2001,Mil. USD,5.798242631,
Azerbaijan,2000,Metric tons,5869,
Azerbaijan,2000,Mil. USD,3.240836326,
Azerbaijan,1999,Metric tons,7761,
Azerbaijan,1998,Metric tons,5317,
Azerbaijan,1997,Metric tons,10134,
Azerbaijan,1996,Metric tons,8539,
Azerbaijan,1995,Metric tons,13585,
Bangladesh,2005,Metric tons,38000,3
Bangladesh,2004,Metric tons,39000,3
Bangladesh,2003,Metric tons,37000,3
Bangladesh,2002,Metric tons,38000,3
Bangladesh,2001,Metric tons,37000,3
Belgium,2003,Metric tons,5180.8,4
Belgium,2002,Metric tons,5442.9,4
Belgium,2001,Metric tons,8930.2,4
Belgium,2000,Metric tons,9283.8,4
Belgium,1999,Metric tons,8309,4
Bosnia and Herzegovina,2016,Metric tons,1823.771,
Bosnia and Herzegovina,2016,Mil. USD,5.349070334,
Bosnia and Herzegovina,2014,Metric tons,2030.172,
Bosnia and Herzegovina,2014,Mil. USD,14.46984524,
Brazil,2015,Metric tons,51414,
Brazil,2015,Mil. USD,98.17073816,
Brazil,2014,Metric tons,35955,
Brazil,2014,Mil. USD,90.39365926,
Brazil,2013,Metric tons,38160,
